timestamp_sent,command_sent,ACT,AMR_DOCK,AMR_Footprint,AMR_PosTarget,CAMERA,ITM_ID,JIG_ID,OBJ_Nbr,OBJ_Type,STATION,taskName,task_data,task_output_position,task_output_results,task_outputs,result,task_id,receiver,dispatch_path,message,state_path,state_timeline,timestamp_returned
2026-03-13T16:09:11.233+01:00,UpdateWorldState_From_uLM,,,,,,,,,,,UpdateWorldState_From_uLM,"{""id"": ""e06bdd6c-32fc-455e-ae91-5bc1be15baf4"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Devices: (5-COMPLETE; 7-COMPLETE""}}",0,Devices: (5-COMPLETE; 7-COMPLETE,"{""Position"": ""0"", ""Results"": ""Devices: (5-COMPLETE; 7-COMPLETE""}",succeeded,e06bdd6c-32fc-455e-ae91-5bc1be15baf4,ULM,uGO_CONTROLLER > UR5E_POLYSCOPE > ULM,,PENDING > EXECUTE > COMPLETE,2026-03-13T16:09:11.241+01:00:PENDING | 2026-03-13T16:09:12.255+01:00:EXECUTE | 2026-03-13T16:09:14.285+01:00:COMPLETE,2026-03-13T16:09:14.285+01:00
2026-03-13T16:09:14.302+01:00,SingleTask,1,,,,,1,10,1,810,,SingleTask,"{""id"": ""cf3c03f8-f495-442c-bbdc-b32ecce5ad0d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,cf3c03f8-f495-442c-bbdc-b32ecce5ad0d,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T16:09:14.311+01:00:PENDING | 2026-03-13T16:09:15.335+01:00:EXECUTE | 2026-03-13T16:09:23.445+01:00:COMPLETE,2026-03-13T16:09:23.445+01:00
2026-03-13T16:09:23.453+01:00,SingleTask,2,,,,,1,12,6,810,,SingleTask,"{""id"": ""f597085d-22f1-4c14-86d4-5a31ac6cfe5d"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,f597085d-22f1-4c14-86d4-5a31ac6cfe5d,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-13T16:09:23.471+01:00:PENDING | 2026-03-13T16:09:24.491+01:00:EXECUTE | 2026-03-13T16:09:31.583+01:00:COMPLETE,2026-03-13T16:09:31.583+01:00
2026-03-13T16:09:31.591+01:00,UpdateWorldState_From_uLM,,,,,,,,,,,UpdateWorldState_From_uLM,"{""id"": ""8a0044fd-40c1-477c-8033-1f79eeea4972"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""Devices: (5-COMPLETE; 7-COMPLETE""}}",0,Devices: (5-COMPLETE; 7-COMPLETE,"{""Position"": ""0"", ""Results"": ""Devices: (5-COMPLETE; 7-COMPLETE""}",succeeded,8a0044fd-40c1-477c-8033-1f79eeea4972,ULM,uGO_CONTROLLER > UR5E_POLYSCOPE > ULM,,PENDING > EXECUTE > COMPLETE,2026-03-13T16:09:31.596+01:00:PENDING | 2026-03-13T16:09:32.613+01:00:EXECUTE | 2026-03-13T16:09:34.645+01:00:COMPLETE,2026-03-13T16:09:34.645+01:00
2026-03-13T16:09:34.661+01:00,Navigate,,1,1,7,,,,,,,Navigate,"{""id"": ""2e33a323-e050-48a7-9e71-735d344e8698"", ""status"": ""EXECUTE"", ""error"": ""null"", ""outputs"": {}}",,,{},failed,2e33a323-e050-48a7-9e71-735d344e8698,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,timeout after 120.0s,PENDING > EXECUTE,2026-03-13T16:09:34.671+01:00:PENDING | 2026-03-13T16:09:35.694+01:00:EXECUTE,2026-03-13T16:11:35.638+01:00
2026-03-16T14:01:33.334+01:00,Navigate,,1,1,2,,,,,,,Navigate,"{""id"": ""8246931f-493f-4a4c-a26d-10a127b4639b"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,8246931f-493f-4a4c-a26d-10a127b4639b,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:01:33.340+01:00:PENDING | 2026-03-16T14:01:34.348+01:00:EXECUTE | 2026-03-16T14:01:35.353+01:00:COMPLETE,2026-03-16T14:01:35.353+01:00
2026-03-16T14:01:35.467+01:00,SingleDeviceAction,30,,,,,2,,,,,SingleDeviceAction,"{""id"": ""93062157-298d-4c4e-b9ae-7bf2583af511"", ""status"": ""EXECUTE"", ""error"": ""null"", ""outputs"": {}}",,,{},failed,93062157-298d-4c4e-b9ae-7bf2583af511,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,timeout after 120.0s,PENDING > EXECUTE,2026-03-16T14:01:35.477+01:00:PENDING | 2026-03-16T14:01:36.483+01:00:EXECUTE,2026-03-16T14:03:36.308+01:00
2026-03-16T14:04:46.502+01:00,Navigate,,1,1,2,,,,,,,Navigate,"{""id"": ""5245b3ef-2d61-45cd-9cc2-c319612fe724"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,5245b3ef-2d61-45cd-9cc2-c319612fe724,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:04:46.508+01:00:PENDING | 2026-03-16T14:04:47.514+01:00:EXECUTE | 2026-03-16T14:04:49.521+01:00:COMPLETE,2026-03-16T14:04:49.521+01:00
2026-03-16T14:04:49.633+01:00,SingleDeviceAction,30,,,,,2,,,,,SingleDeviceAction,"{""id"": ""79f4d9bc-a3cf-4b71-a2d9-8636f5beb42f"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}}",0,"p[0, 0, 0, 0, 0, 0]","{""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}",succeeded,79f4d9bc-a3cf-4b71-a2d9-8636f5beb42f,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:04:49.640+01:00:PENDING | 2026-03-16T14:04:50.645+01:00:EXECUTE | 2026-03-16T14:04:52.654+01:00:COMPLETE,2026-03-16T14:04:52.654+01:00
2026-03-16T14:04:52.764+01:00,SingleTask,1,,,,,2,1,1,551,,SingleTask,"{""id"": ""746475f8-c46d-4ae6-abef-70a3d642a72e"", ""status"": ""ABORTED"", ""error"": ""null"", ""outputs"": {}}",,,{},failed,746475f8-c46d-4ae6-abef-70a3d642a72e,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,"{'data': {'id': '746475f8-c46d-4ae6-abef-70a3d642a72e', 'status': 'ABORTED', 'error': 'null', 'outputs': {}}}",PENDING > EXECUTE > ABORTED,2026-03-16T14:04:52.771+01:00:PENDING | 2026-03-16T14:04:53.781+01:00:EXECUTE | 2026-03-16T14:06:16.337+01:00:ABORTED,2026-03-16T14:06:16.347+01:00
2026-03-16T14:06:39.235+01:00,Navigate,,1,1,2,,,,,,,Navigate,"{""id"": ""ee99fb5c-b174-4a5c-b573-c9d11e3fdbca"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,ee99fb5c-b174-4a5c-b573-c9d11e3fdbca,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:39.240+01:00:PENDING | 2026-03-16T14:06:40.245+01:00:EXECUTE | 2026-03-16T14:06:42.257+01:00:COMPLETE,2026-03-16T14:06:42.257+01:00
2026-03-16T14:06:42.370+01:00,SingleDeviceAction,30,,,,,2,,,,,SingleDeviceAction,"{""id"": ""803ef26e-1f1e-423d-b629-5bda420d519a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}}",0,"p[0, 0, 0, 0, 0, 0]","{""Position"": ""0"", ""Results"": ""p[0, 0, 0, 0, 0, 0]""}",succeeded,803ef26e-1f1e-423d-b629-5bda420d519a,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:42.383+01:00:PENDING | 2026-03-16T14:06:43.392+01:00:EXECUTE | 2026-03-16T14:06:44.398+01:00:COMPLETE,2026-03-16T14:06:44.398+01:00
2026-03-16T14:06:44.513+01:00,SingleTask,1,,,,,2,1,1,551,,SingleTask,"{""id"": ""90745b88-0e24-4d7f-b3ee-dfd1163dbe46"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,90745b88-0e24-4d7f-b3ee-dfd1163dbe46,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:44.521+01:00:PENDING | 2026-03-16T14:06:45.533+01:00:EXECUTE | 2026-03-16T14:06:47.547+01:00:COMPLETE,2026-03-16T14:06:47.547+01:00
2026-03-16T14:06:47.549+01:00,SingleTask,2,,,,,1,1,1,551,,SingleTask,"{""id"": ""69ff06a3-4913-47ba-ab4b-0dec4844fa0a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,69ff06a3-4913-47ba-ab4b-0dec4844fa0a,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:47.558+01:00:PENDING | 2026-03-16T14:06:48.563+01:00:EXECUTE | 2026-03-16T14:06:50.573+01:00:COMPLETE,2026-03-16T14:06:50.573+01:00
2026-03-16T14:06:50.687+01:00,Charge,,,,,,,,,,,Charge,"{""id"": ""d5767698-9b59-42d0-ad52-5706341510c5"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}",0,NavigationComplete,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",succeeded,d5767698-9b59-42d0-ad52-5706341510c5,AMR,uGO_CONTROLLER > UR5E_POLYSCOPE > AMR,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:50.693+01:00:PENDING | 2026-03-16T14:06:51.696+01:00:EXECUTE | 2026-03-16T14:06:52.702+01:00:COMPLETE,2026-03-16T14:06:52.702+01:00
2026-03-16T14:06:52.812+01:00,InspectRackAtStation,,,,,WRIST,,1,,,uLMPlateStation,CameraInspect,"{""id"": ""cb895bed-7c75-492c-9c24-f9b2412bb569"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""[1,2,3,4,5,6]""}}",0,"[1,2,3,4,5,6]","{""Position"": ""0"", ""Results"": ""[1,2,3,4,5,6]""}",succeeded,cb895bed-7c75-492c-9c24-f9b2412bb569,WRIST_CAMERA,uGO_CONTROLLER > UR5E_POLYSCOPE > WRIST_CAMERA,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:52.819+01:00:PENDING | 2026-03-16T14:06:53.824+01:00:EXECUTE | 2026-03-16T14:06:54.827+01:00:COMPLETE,2026-03-16T14:06:54.827+01:00
2026-03-16T14:06:54.960+01:00,SingleTask,1,,,,,1,1,1,810,,SingleTask,"{""id"": ""2bb2d7f5-0cf0-4a0a-ab18-80bd22f60d22"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,2bb2d7f5-0cf0-4a0a-ab18-80bd22f60d22,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:54.966+01:00:PENDING | 2026-03-16T14:06:55.971+01:00:EXECUTE | 2026-03-16T14:06:57.981+01:00:COMPLETE,2026-03-16T14:06:57.981+01:00
2026-03-16T14:06:57.984+01:00,SingleTask,2,,,,,1,10,1,810,,SingleTask,"{""id"": ""53b6bc77-54fa-4627-9f35-94a4d7b84517"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,53b6bc77-54fa-4627-9f35-94a4d7b84517,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:06:57.990+01:00:PENDING | 2026-03-16T14:06:58.994+01:00:EXECUTE | 2026-03-16T14:06:59.998+01:00:COMPLETE,2026-03-16T14:06:59.998+01:00
2026-03-16T14:07:00.005+01:00,ProcessAt3FingerStation,3,,,,,1,10,,,,ProcessAt3FingerStation,"{""id"": ""56fc56bd-1b6b-4768-93b2-7619b9308cf8"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""01""}}",0,01,"{""Position"": ""0"", ""Results"": ""01""}",succeeded,56fc56bd-1b6b-4768-93b2-7619b9308cf8,3FG,uGO_CONTROLLER > UR5E_POLYSCOPE > 3FG,,EXECUTE > COMPLETE,2026-03-16T14:07:01.028+01:00:EXECUTE | 2026-03-16T14:07:02.037+01:00:COMPLETE,2026-03-16T14:07:02.037+01:00
2026-03-16T14:07:02.038+01:00,SingleTask,1,,,,,1,10,1,810,,SingleTask,"{""id"": ""7909f1de-2d40-49c3-b30c-146483ba63cd"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}",0,,"{""Position"": ""0"", ""Results"": """"}",succeeded,7909f1de-2d40-49c3-b30c-146483ba63cd,ARM,uGO_CONTROLLER > UR5E_POLYSCOPE > ARM,,PENDING > EXECUTE > COMPLETE,2026-03-16T14:07:02.046+01:00:PENDING | 2026-03-16T14:07:03.051+01:00:EXECUTE | 2026-03-16T14:07:05.061+01:00:COMPLETE,2026-03-16T14:07:05.061+01:00
