timestamp,mode,requested_event,planner_state,system_manager_mode,system_manager_state,error
2026-03-17T09:01:50.790+01:00,automatic,,3,automatic,1,
2026-03-17T09:01:51.321+01:00,automatic,,3,automatic,1,
2026-03-17T09:01:51.838+01:00,automatic,,3,automatic,1,
2026-03-17T09:01:52.369+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:52.890+01:00,automatic,2,2,automatic,1,
2026-03-17T09:01:53.417+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:53.922+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:54.437+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:54.966+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:55.485+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:56.001+01:00,automatic,,2,automatic,1,
2026-03-17T09:01:56.520+01:00,manual,,1,manual,1,
2026-03-17T09:01:57.048+01:00,manual,,1,manual,1,
2026-03-17T09:01:57.560+01:00,manual,,1,manual,1,
2026-03-17T09:01:58.083+01:00,manual,,1,manual,1,
2026-03-17T09:01:58.618+01:00,manual,,1,manual,1,
2026-03-17T09:01:59.132+01:00,manual,,1,manual,1,
2026-03-17T09:01:59.665+01:00,manual,,1,manual,1,
2026-03-17T09:02:00.170+01:00,manual,,1,manual,1,
2026-03-17T09:02:00.670+01:00,manual,,1,manual,1,
2026-03-17T09:02:01.182+01:00,manual,,1,manual,1,
2026-03-17T09:02:01.699+01:00,manual,,1,manual,1,
2026-03-17T09:02:02.215+01:00,manual,,1,manual,1,
2026-03-17T09:02:02.749+01:00,manual,,1,manual,1,
2026-03-17T09:02:03.280+01:00,manual,,1,manual,1,
2026-03-17T09:02:03.796+01:00,manual,,1,manual,1,
2026-03-17T09:02:04.317+01:00,manual,,1,manual,1,
2026-03-17T09:02:04.831+01:00,manual,,1,manual,1,
2026-03-17T09:02:05.348+01:00,manual,,1,manual,1,
2026-03-17T09:02:05.862+01:00,manual,,1,manual,1,
2026-03-17T09:02:06.381+01:00,manual,,1,manual,1,
2026-03-17T09:02:06.914+01:00,manual,,1,manual,1,
2026-03-17T09:02:07.430+01:00,manual,,1,manual,1,
2026-03-17T09:02:07.962+01:00,manual,,1,manual,1,
2026-03-17T09:02:08.495+01:00,manual,,1,manual,1,
2026-03-17T09:02:09.014+01:00,manual,,1,manual,1,
2026-03-17T09:02:09.528+01:00,manual,,1,manual,1,
2026-03-17T09:02:10.049+01:00,manual,,1,manual,1,
2026-03-17T09:02:10.580+01:00,manual,,1,manual,1,
2026-03-17T09:02:11.083+01:00,manual,,1,manual,1,
